GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48031,"Blanco County, Texas",50.3,87564,396200,16.3,0.1,2.0,0.0,81.6,76.0,0.8,3.1,34.3,92.5,3.5,8.7,48,31,blanco,,0.0
48033,"Borden County, Texas",30.0,64250,105400,15.2,0.0,0.0,0.0,84.8,80.2,1.5,1.4,35.3,94.6,0.3,4.8,48,33,borden,,0.0
48035,"Bosque County, Texas",46.3,69339,184500,17.5,0.2,1.1,0.0,81.2,75.6,1.2,1.7,20.7,88.2,4.1,9.1,48,35,bosque,bosque,2.0
48037,"Bowie County, Texas",38.4,59295,161300,6.7,0.2,1.5,0.0,91.6,61.6,24.7,1.5,22.1,90.0,3.7,16.3,48,37,bowie,,0.0
48039,"Brazoria County, Texas",36.5,95155,276800,25.6,1.2,4.3,0.2,68.6,42.9,15.5,1.5,32.1,89.2,4.5,7.3,48,39,brazoria,brazoria,7.0
48041,"Brazos County, Texas",26.8,58388,279700,22.3,0.5,3.8,0.5,72.9,53.5,10.3,1.6,42.5,89.0,4.6,23.9,48,41,brazos,brazos,2.0
48043,"Brewster County, Texas",42.2,52612,216000,34.2,0.4,7.5,0.0,57.9,55.4,0.3,3.2,45.3,90.0,2.2,8.4,48,43,brewster,,0.0
48045,"Briscoe County, Texas",50.8,41188,82900,25.5,0.0,0.7,0.0,73.8,68.7,3.7,0.3,19.0,80.5,0.0,15.3,48,45,briscoe,,0.0
48047,"Brooks County, Texas",38.1,31310,82700,82.4,0.0,7.7,0.0,10.0,8.2,0.8,0.1,14.4,67.4,3.5,30.7,48,47,brooks,brooks,1.0
48049,"Brown County, Texas",41.4,55305,149900,19.3,0.3,2.6,0.0,77.8,70.5,3.2,1.6,19.9,87.7,4.8,14.5,48,49,brown,,0.0
48051,"Burleson County, Texas",44.3,72888,174000,18.4,0.1,3.2,0.1,78.2,63.0,11.6,2.6,23.1,85.1,2.9,12.6,48,51,burleson,,0.0
